"","Max Depth","Num Iterations","Learning Rate","Accuracy","Sensitivity","Specificity"
"69",4,400,0.1,0.801246044303797,0.824960443037975,0.77753164556962
"70",4,400,0.3,0.913350474683544,0.934928797468354,0.891772151898734
"71",4,400,0.5,0.9515625,0.96689082278481,0.93623417721519
"72",4,500,0.001,0.653481012658228,0.633939873417722,0.673022151898734
"73",4,500,0.01,0.696321202531646,0.718710443037975,0.673931962025316
"74",4,500,0.1,0.821795886075949,0.844620253164557,0.798971518987342
"75",4,500,0.3,0.935996835443038,0.953006329113924,0.918987341772152
"76",4,500,0.5,0.969996044303797,0.980300632911392,0.959691455696203
"77",5,100,0.001,0.656289556962025,0.645846518987342,0.666732594936709
"78",5,100,0.01,0.679450158227848,0.696756329113924,0.662143987341772
"79",5,100,0.1,0.753579905063291,0.777136075949367,0.730023734177215
"80",5,100,0.3,0.833069620253165,0.85870253164557,0.807436708860759
"81",5,100,0.5,0.877432753164557,0.900276898734177,0.854588607594937
"82",5,200,0.001,0.658583860759494,0.645490506329114,0.671677215189873
"83",5,200,0.01,0.693868670886076,0.717642405063291,0.670094936708861
"84",5,200,0.1,0.799525316455696,0.824287974683544,0.774762658227848
"85",5,200,0.3,0.906368670886076,0.926938291139241,0.885799050632911
"86",5,200,0.5,0.951681170886076,0.966851265822785,0.936511075949367
"87",5,300,0.001,0.66182753164557,0.65692246835443,0.666732594936709
"88",5,300,0.01,0.704173259493671,0.727887658227848,0.680458860759494
"89",5,300,0.1,0.844106012658228,0.868789556962025,0.81942246835443
"90",5,300,0.3,0.950276898734177,0.963844936708861,0.936708860759494
"91",5,300,0.5,0.983030063291139,0.988409810126582,0.977650316455696
"92",5,400,0.001,0.663963607594937,0.674802215189873,0.653125
"93",5,400,0.01,0.713844936708861,0.737579113924051,0.690110759493671
"94",5,400,0.1,0.870708069620253,0.890625,0.850791139240506
"95",5,400,0.3,0.972329905063291,0.981012658227848,0.963647151898734
"96",5,400,0.5,0.995352056962025,0.996637658227848,0.994066455696203
"97",5,500,0.001,0.666178797468354,0.672112341772152,0.660245253164557
"98",5,500,0.01,0.722923259493671,0.746479430379747,0.699367088607595
"99",5,500,0.1,0.896776107594937,0.916574367088608,0.876977848101266
"100",5,500,0.3,0.984790348101266,0.988726265822785,0.980854430379747
"101",5,500,0.5,0.99910996835443,0.999090189873418,0.999129746835443
"102",6,100,0.001,0.674307753164557,0.679944620253165,0.668670886075949
"103",6,100,0.01,0.706408227848101,0.731882911392405,0.680933544303797
"104",6,100,0.1,0.800949367088608,0.82314082278481,0.778757911392405
"105",6,100,0.3,0.899940664556962,0.922310126582279,0.877571202531646
"106",6,100,0.5,0.945193829113924,0.960799050632911,0.929588607594937
"107",6,200,0.001,0.679588607594937,0.701661392405063,0.65751582278481
"108",6,200,0.01,0.721973892405063,0.751463607594937,0.69248417721519
"109",6,200,0.1,0.863924050632911,0.884691455696203,0.84315664556962
"110",6,200,0.3,0.964141613924051,0.974723101265823,0.953560126582279
"111",6,200,0.5,0.990803006329114,0.994778481012658,0.98682753164557
"112",6,300,0.001,0.68184335443038,0.705775316455696,0.657911392405063
"113",6,300,0.01,0.734909018987342,0.760838607594937,0.708979430379747
"114",6,300,0.1,0.91064082278481,0.926621835443038,0.894659810126582
"115",6,300,0.3,0.988310917721519,0.991139240506329,0.985482594936709
"116",6,300,0.5,0.99932753164557,0.999485759493671,0.999169303797468
"117",6,400,0.001,0.684098101265823,0.703164556962025,0.66503164556962
"118",6,400,0.01,0.749287974683544,0.773892405063291,0.724683544303797
"119",6,400,0.1,0.938587816455696,0.951226265822785,0.925949367088608
"120",6,400,0.3,0.997112341772152,0.998022151898734,0.99620253164557
"121",6,400,0.5,1,1,1
"122",6,500,0.001,0.688607594936709,0.709651898734177,0.667563291139241
"123",6,500,0.01,0.761174841772152,0.785403481012658,0.736946202531646
"124",6,500,0.1,0.957832278481013,0.966534810126582,0.949129746835443
"125",6,500,0.3,0.999683544303797,0.999683544303797,0.999683544303797
"126",6,500,0.5,1,1,1
